Category,Name,Organization,Data Format,Update Frequency,Description,API
City Management,"Trade licences for places of public entertainment, commercial bathhouses, swimming pools, slaughterhouses, offensive trades, funeral parlours and undertakers",Food and Environmental Hygiene Department,XML,Daily at 9:00am,List of trade licences issued by the Food and Environmental Hygiene Department,N
Food,Products exempted from nutrition labelling,Food and Environmental Hygiene Department,XML,Every Friday,List of products that obtained exemptions from nutrition labelling under the “Small Volume Exemption” scheme,N
Food,Pesticides Licensee List - Part II,"Agriculture, Fisheries and Conservation Department",CSV,Every 3 months,Part II of pesticides licensee list in Hong Kong,N
Food,Today's Live Pig Supply and Auction Prices / Tomorrow's Live Pig Supply Forecast,Food and Environmental Hygiene Department,XML,Daily at 6:00pm,Today's Live Pig Supply and Auction Prices / Tomorrow's Live Pig Supply Forecast,N
Development,Aerial Photo Flight Index,Lands Department,KML/KMZ/XLS,On yearly basis,"The aerial photo flight index shows the aerial photo and flight information, including photo number, shooting position, photo coverage, date of flight, flying height etc., of the aerial photographs taken by Survey and Mapping Office (SMO).  There are...",N
Development,1:200 000 Topographic Map of Hong Kong,Lands Department,TIF,As and when necessary,"Hong Kong Special 
Administrative Region 1:200 000 Topographic Map",N
Development,Hong Kong Satellite Positioning Reference Station Network (SatRef) GNSS Raw Data Streams (RTCM Format),Lands Department,RTCM,As and when necessary,Hong Kong Satellite Positioning Reference Station Network (SatRef) GNSS Raw Data Streams (RTCM Format),N
Development,District boundary,Home Affairs Department,GML/JSON,As and when necessary,Geo-referenced data of District Boundary.,N
Climate and Weather,Quick earthquake messages,Hong Kong Observatory,RSS,As and when necessary,"Provide information on earthquakes of magnitude 6.0 or above worldwide, as analyzed by the Hong Kong Observatory",N
Climate and Weather,Weather warning summary,Hong Kong Observatory,RSS,As and when necessary,Provide a summary of the weather warning(s) in force in Hong Kong,N
Housing,Land Registry Monthly Statistics,Land Registry,JSON/XLS,Monthly,"The statistics generally relate to land transactions executed up to four weeks prior to their submission for registration, as there is usually a time lag between the execution of deeds and their lodgement for registration.",Y
Climate and Weather,Locally felt earth tremor report,Hong Kong Observatory,RSS,As and when necessary,Provide reports on earth tremors felt in Hong Kong,N
Recreation and Culture,5-a-side Hard-surface Soccer Pitches (Free Outdoor Pitches/Courts),Leisure and Cultural Services Department,JSON,As and when necessary,Location of 5-a-side Hard-surface Soccer Pitches (Free Outdoor Pitches/Courts),N
Commerce and Industry,Free eMail Notification Services,Trade and Industry Department,XML,As and when necessary,Information related to Trade and Industry Department would be delivered through the Free eMail Notification Services.,N
Commerce and Industry,Annual Earnings and Hours Survey,Census and Statistics Department,XLS,Annual,Annual Earnings and Hours Survey,N
Recreation and Culture,7-a-side Soccer Pitches (Natural Turf Pitch),Leisure and Cultural Services Department,JSON,As and when necessary,Location of 7-a-side Soccer Pitches (Natural Turf Pitch),N
Climate and Weather,Weather warning information,Hong Kong Observatory,RSS,As and when necessary,Provide detailed information of weather warning(s) in force,N
Recreation and Culture,7-a-side Soccer Pitches (Artificial Turf Pitch),Leisure and Cultural Services Department,JSON,As and when necessary,Location of 7-a-side Soccer Pitches (Artificial Turf Pitch),N
Recreation and Culture,11-a-side Soccer Pitches (Natural Turf Pitch),Leisure and Cultural Services Department,JSON,As and when necessary,Location of 11-a-side Soccer Pitches (Natural Turf Pitch),N
Employment and Labour,Salaries and Employee Benefits Statistics - Managerial and Professional Employees (Excluding Top Management),Census and Statistics Department,XLS/XML,Annual,Salaries and Employee Benefits Statistics - Managerial and Professional Employees (Excluding Top Management),N
Employment and Labour,Wage and Payroll Statistics,Census and Statistics Department,XLS/XML,Quarterly,Wage and Payroll Statistics,N
Employment and Labour,Average Daily Wages of Workers Engaged in Public Sector Construction Projects as Reported by Main Contractors,Census and Statistics Department,XLS/XML,Monthly,Average Daily Wages of Workers Engaged in Public Sector Construction Projects as Reported by Main Contractors,N
Population,Tertiary Planning Unit and Street Block / Village Cluster Boundaries Adopted in the 2016 Population By-census,Planning Department,,Every five year,"TERTIARY PLANNING UNIT

The Tertiary Planning Unit (TPU) is a geographic reference system demarcated by the Planning Department for the territory of Hong Kong.  The whole territory of Hong Kong is divided into a number of TPUs.  Each of the TPU is...",N
Finance,Annual Statistics for General Business 2014,Insurance Authority,XLS/XLSX,Annually,Annual Statistics for General Business 2014,N
Finance,Annual Statistics for General Business 2015,Insurance Authority,XLS/XLSX,Annually,Annual Statistics for General Business 2015,N
Population,Statistics on Domestic Households,Census and Statistics Department,XLS,Quarterly,Statistics on Domestic Households,N
Population,Projections of Population Distribution 2015-2024,Planning Department,XLS,As and when necessary,Projections of Population Distribution 2015-2024 Report and Statistical Tables.,N
Finance,Annual Statistics for General Business 2013,Insurance Authority,XLS,Annually,Annual Statistics for General Business 2013,N
Finance,Annual Statistics for General Business 2011,Insurance Authority,XLS,Annually,Annual Statistics for General Business 2011,N
Recreation and Culture,7-a-side Hard-surface Soccer Pitches (Free Outdoor Pitches/Courts),Leisure and Cultural Services Department,JSON,As and when necessary,Location of 7-a-side Hard-surface Soccer Pitches (Free Outdoor Pitches/Courts),N
Recreation and Culture,Baseball Pitches (Natural Turf Pitch),Leisure and Cultural Services Department,JSON,As and when necessary,Location of Baseball Pitches (Natural Turf Pitch),N
Employment and Labour,Youth.gov.hk Gov Job video channel,Efficiency Office,XML,As and when necessary,The Gov Job video channel of Youth.gov.hk introduces different government posts with useful interview tips through short videos.  This allows youths applying for different government posts to understand more about the posts.,N
Population,Poverty Situation,Census and Statistics Department,XLS,Annual/ Ad hoc,Poverty Situation,N
Development,Exhibition gallery of government building projects,Architectural Services Department,JPG,Quarterly,Information and images of selected government building projects since 2002,N
